timestamp,request_count,active_users,cpu_usage,memory_usage,db_query_time_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,error_rate
2026-04-01 00:00:00,115,51,29.58,36.41,19.88,69.13,129.82,164.68,0.0023
2026-04-01 00:05:00,106,43,26.3,35.12,18.97,67.24,117.24,157.73,0.0057
2026-04-01 00:10:00,151,66,31.76,38.45,22.29,80.67,148.45,203.09,0.0044
2026-04-01 00:15:00,161,73,33.47,40.72,23.36,83.27,148.13,218.48,0.0031
2026-04-01 00:20:00,134,64,33.28,36.63,21.84,77.5,129.23,184.55,0.0041
2026-04-01 00:25:00,145,70,34.48,37.35,22.28,78.79,139.56,213.27,0.0045
2026-04-01 00:30:00,149,70,33.24,36.76,21.09,80.04,142.26,250.75,0.0038
2026-04-01 00:35:00,167,80,31.8,36.59,20.79,82.39,155.06,247.69,0.0045
2026-04-01 00:40:00,132,65,28.44,34.09,20.84,74.58,130.16,206.76,0.0051
2026-04-01 00:45:00,145,74,26.84,35.83,20.44,75.29,154.76,213.48,0.0015
2026-04-01 00:50:00,136,69,25.81,36.23,19.24,72.56,136.3,199.0,0.0029
2026-04-01 00:55:00,124,62,26.69,37.29,18.59,71.01,131.2,193.66,0.0049
2026-04-01 01:00:00,152,73,29.08,38.81,19.5,78.78,142.27,215.9,0.0068
2026-04-01 01:05:00,99,50,25.53,34.03,17.33,69.5,129.45,186.86,0.0034
2026-04-01 01:10:00,86,40,23.82,33.36,15.77,64.0,114.73,162.47,0.0011
2026-04-01 01:15:00,106,51,23.17,33.4,14.98,62.15,104.63,138.29,0.0018
2026-04-01 01:20:00,105,51,24.64,32.67,16.86,65.72,102.85,184.58,0.0049
2026-04-01 01:25:00,89,45,24.85,32.97,17.08,63.96,111.31,180.6,0.0031
2026-04-01 01:30:00,95,47,24.13,33.89,17.47,63.59,116.09,163.05,0.0011
2026-04-01 01:35:00,115,59,25.43,35.9,17.28,64.54,119.88,173.38,0.0013
2026-04-01 01:40:00,96,51,27.22,34.62,17.06,63.68,116.62,157.92,0.0035
2026-04-01 01:45:00,118,59,30.27,36.79,17.72,67.18,123.19,183.58,0.0016
2026-04-01 01:50:00,125,60,27.84,36.71,17.5,70.19,133.16,198.81,0.0053
2026-04-01 01:55:00,100,47,26.27,36.53,15.97,61.56,113.06,180.46,0.0039
2026-04-01 02:00:00,124,59,30.25,38.01,18.61,68.6,136.26,206.32,0.004
2026-04-01 02:05:00,118,54,29.01,37.28,18.57,70.26,133.48,197.63,0.0034
2026-04-01 02:10:00,98,47,26.94,36.22,18.5,73.51,134.94,214.81,0.0019
2026-04-01 02:15:00,110,55,29.37,36.75,20.04,76.08,144.23,209.08,0.0035
2026-04-01 02:20:00,114,54,30.59,38.47,21.35,78.17,158.52,221.33,0.0062
2026-04-01 02:25:00,110,52,30.88,38.06,20.52,77.19,159.67,205.27,0.0053
2026-04-01 02:30:00,122,57,30.35,38.39,21.05,73.4,143.74,201.71,0.0024
2026-04-01 02:35:00,114,55,30.21,37.4,21.26,77.61,145.31,236.63,0.0049
2026-04-01 02:40:00,112,57,31.58,37.91,21.64,81.06,142.91,250.55,0.0051
2026-04-01 02:45:00,100,47,29.49,37.6,22.06,82.32,153.54,252.93,0.0049
2026-04-01 02:50:00,99,46,28.06,36.9,22.08,88.32,146.95,273.04,0.0044
2026-04-01 02:55:00,90,41,28.9,34.97,22.05,80.58,155.59,233.97,0.0046
2026-04-01 03:00:00,135,59,34.24,36.61,24.0,82.68,168.44,229.18,0.0055
2026-04-01 03:05:00,111,47,34.27,35.27,23.06,83.74,159.1,204.67,0.0043
2026-04-01 03:10:00,103,45,31.16,36.36,22.29,80.34,159.99,189.28,0.0017
2026-04-01 03:15:00,107,46,29.79,36.21,22.41,77.84,153.41,198.98,0.0013
2026-04-01 03:20:00,128,53,28.97,36.77,21.68,78.74,153.63,175.08,0.0032
2026-04-01 03:25:00,113,52,28.07,34.25,21.13,76.33,142.12,189.82,0.0022
2026-04-01 03:30:00,133,62,27.76,37.33,20.72,83.8,159.29,225.01,0.0043
2026-04-01 03:35:00,107,50,25.57,36.44,17.72,83.53,141.92,193.97,0.0012
2026-04-01 03:40:00,125,56,28.41,38.18,19.37,79.45,142.48,216.69,0.0035
2026-04-01 03:45:00,111,50,28.09,38.12,17.87,72.28,126.16,189.86,0.0049
2026-04-01 03:50:00,89,40,23.71,36.34,16.55,67.38,115.22,150.13,0.0014
2026-04-01 03:55:00,116,48,28.67,37.69,18.84,73.57,127.85,161.54,0.0016
2026-04-01 04:00:00,119,48,27.04,39.12,19.91,74.27,126.83,178.58,0.0012
2026-04-01 04:05:00,87,35,23.7,36.98,20.15,73.03,135.46,180.65,0.0011
2026-04-01 04:10:00,115,52,24.46,38.73,18.36,73.2,123.37,186.6,0.0011
2026-04-01 04:15:00,100,46,23.49,38.32,18.64,69.79,123.43,192.85,0.0022
2026-04-01 04:20:00,84,41,22.05,37.52,18.11,67.18,110.51,178.15,0.0021
2026-04-01 04:25:00,136,64,25.47,39.78,20.21,81.61,153.25,209.8,0.0017
2026-04-01 04:30:00,131,61,22.57,39.02,21.01,80.06,148.09,197.52,0.0027
2026-04-01 04:35:00,150,72,26.03,40.56,20.16,80.6,137.93,227.17,0.0023
2026-04-01 04:40:00,133,67,26.45,39.92,20.08,75.74,136.36,190.94,0.0028
2026-04-01 04:45:00,114,60,29.36,39.57,21.26,77.95,138.3,210.14,0.0011
2026-04-01 04:50:00,125,62,30.4,40.11,20.99,83.54,154.42,232.39,0.0037
2026-04-01 04:55:00,141,69,30.22,40.99,22.81,88.5,152.36,262.92,0.0031
2026-04-01 05:00:00,151,73,28.9,40.46,21.69,89.05,169.13,254.02,0.0027
2026-04-01 05:05:00,113,55,26.64,37.39,20.18,79.17,130.32,201.05,0.0023
2026-04-01 05:10:00,136,66,29.18,39.21,19.71,77.87,131.03,210.63,0.0023
2026-04-01 05:15:00,130,64,28.06,37.99,19.55,82.2,135.2,232.88,0.0029
2026-04-01 05:20:00,126,64,28.15,37.62,16.53,80.63,143.51,225.57,0.0039
2026-04-01 05:25:00,151,78,32.87,40.3,18.17,83.96,152.49,259.27,0.0022
2026-04-01 05:30:00,123,64,29.63,39.59,19.37,84.72,152.32,221.32,0.0046
2026-04-01 05:35:00,158,76,28.88,41.34,18.41,80.68,141.47,211.87,0.0073
2026-04-01 05:40:00,147,71,30.02,39.93,17.12,75.81,127.13,204.98,0.0058
2026-04-01 05:45:00,107,56,27.77,37.23,18.03,70.69,121.5,199.73,0.0028
2026-04-01 05:50:00,153,75,28.2,40.41,20.3,80.59,133.04,237.78,0.0028
2026-04-01 05:55:00,143,71,28.85,39.45,18.85,80.53,126.38,229.43,0.0038
2026-04-01 06:00:00,138,70,27.35,38.36,20.42,80.64,141.31,215.75,0.0033
2026-04-01 06:05:00,154,77,29.73,40.34,21.47,82.36,139.58,228.67,0.0041
2026-04-01 06:10:00,108,55,29.7,37.62,21.78,88.63,170.28,224.34,0.0041
2026-04-01 06:15:00,131,63,30.3,38.0,20.8,86.29,175.84,220.38,0.0037
2026-04-01 06:20:00,148,66,32.75,39.34,22.79,93.93,194.31,265.92,0.0015
2026-04-01 06:25:00,104,44,27.1,37.63,20.93,84.28,151.65,232.13,0.0016
2026-04-01 06:30:00,117,49,25.74,37.0,20.02,80.86,162.38,206.15,0.0044
2026-04-01 06:35:00,87,38,27.41,35.04,20.21,83.91,142.09,208.25,0.0043
2026-04-01 06:40:00,108,48,28.88,35.94,20.0,86.06,145.48,211.74,0.0057
2026-04-01 06:45:00,129,56,30.8,37.56,19.0,84.69,158.79,211.15,0.0083
