timestamp,request_count,active_users,cpu_usage,memory_usage,db_query_time_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,error_rate,cpu_change_5m,memory_change_5m,db_change_5m,cpu_2h_mean,cpu_2h_std,memory_2h_mean,memory_2h_std,cpu_percentile,memory_percentile,cpu_memory_stress,cpu_load_stress
2026-04-01 00:00:00,144,66,32.68,40.78,15.64,75.98,132.57,187.75,0.00106,1.519,-1.087,-0.138,40.71,8.71,47.5,7.38,25.3,24.8,0.1333,0.0589
2026-04-01 00:05:00,131,60,33.79,40.51,15.58,76.7,135.97,168.02,0.00092,0.696,0.554,0.019,40.71,8.71,47.5,7.38,30.9,22.9,0.1369,0.0553
2026-04-01 00:10:00,138,63,34.07,41.89,15.68,80.48,134.42,178.29,0.00152,-0.797,1.553,-0.019,40.71,8.71,47.5,7.38,32.2,31.7,0.1427,0.0587
2026-04-01 00:15:00,141,65,32.19,43.62,15.55,74.53,131.01,160.72,0.00101,-0.571,-0.605,-0.442,40.71,8.71,47.5,7.38,22.6,38.2,0.1404,0.0569
2026-04-01 00:20:00,126,59,32.93,40.68,14.8,74.54,121.27,168.82,0.00182,1.121,-0.753,-0.287,40.71,8.71,47.5,7.38,26.7,24.1,0.134,0.052
2026-04-01 00:25:00,139,62,34.44,42.11,14.97,75.83,131.02,171.21,0.00185,1.96,1.248,0.263,40.71,8.71,47.5,7.38,33.6,32.7,0.145,0.0599
2026-04-01 00:30:00,157,71,36.85,43.17,15.32,75.57,143.07,167.42,0.00179,0.883,0.249,0.245,40.71,8.71,47.5,7.38,40.0,37.0,0.1591,0.0722
2026-04-01 00:35:00,142,62,36.2,42.61,15.46,74.67,142.76,173.39,0.00186,-0.469,-0.873,-0.478,40.71,8.71,47.5,7.38,38.7,34.9,0.1543,0.0645
2026-04-01 00:40:00,142,63,35.91,41.43,14.37,74.32,132.86,156.49,0.00261,-0.807,0.011,-0.083,40.71,8.71,47.5,7.38,38.0,29.0,0.1488,0.0637
2026-04-01 00:45:00,160,73,34.59,42.63,15.3,74.89,127.55,178.81,0.00292,-1.291,-0.617,0.54,40.71,8.71,47.5,7.38,34.1,35.0,0.1475,0.0693
2026-04-01 00:50:00,119,57,33.33,40.2,15.45,76.08,140.78,199.53,0.00233,-0.579,-0.688,0.195,40.71,8.71,47.5,7.38,28.9,20.6,0.134,0.0497
2026-04-01 00:55:00,134,61,33.43,41.26,15.69,77.38,137.67,205.17,0.00153,0.268,0.523,0.069,40.71,8.71,47.5,7.38,29.3,28.0,0.1379,0.0559
2026-04-01 01:00:00,125,55,33.87,41.24,15.58,77.17,139.49,190.25,0.00234,1.65,0.574,-0.238,40.71,8.71,47.5,7.38,31.2,27.9,0.1397,0.0528
2026-04-01 01:05:00,126,58,36.73,42.41,15.21,73.78,138.02,197.1,0.00086,0.33,-0.223,-0.352,40.71,8.71,47.5,7.38,39.8,34.0,0.1558,0.0579
2026-04-01 01:10:00,79,35,34.53,40.8,14.88,71.93,129.53,198.27,0.00117,-0.767,-1.307,-0.012,40.71,8.71,47.5,7.38,33.9,24.9,0.1409,0.0343
2026-04-01 01:15:00,111,47,35.2,39.79,15.19,73.37,127.55,193.33,0.00174,-1.135,-1.196,-0.39,40.71,8.71,47.5,7.38,36.1,17.4,0.1401,0.0487
2026-04-01 01:20:00,78,33,32.26,38.4,14.1,68.44,120.4,187.29,0.00148,-2.084,0.068,-0.277,40.71,8.71,47.5,7.38,23.0,7.8,0.1239,0.0313
2026-04-01 01:25:00,82,35,31.03,39.93,14.63,70.46,119.5,174.72,0.00136,-1.754,0.522,-0.305,40.71,8.71,47.5,7.38,16.0,18.4,0.1239,0.032
2026-04-01 01:30:00,111,48,28.75,39.45,13.49,71.04,122.72,171.69,0.00146,-1.06,-0.516,-0.02,40.71,8.71,47.5,7.38,5.2,14.9,0.1134,0.04
2026-04-01 01:35:00,100,44,28.91,38.9,14.59,75.33,130.37,166.62,0.00231,0.773,0.578,0.714,40.71,8.71,47.5,7.38,5.8,10.9,0.1125,0.036
2026-04-01 01:40:00,129,59,30.3,40.61,14.92,77.26,134.76,198.77,0.00167,0.715,-0.671,0.013,40.71,8.71,47.5,7.38,11.9,23.6,0.123,0.0488
2026-04-01 01:45:00,111,50,30.34,37.56,14.62,77.95,145.58,169.76,0.00252,-0.138,-1.051,-0.014,40.71,8.71,47.5,7.38,12.1,3.8,0.114,0.042
2026-04-01 01:50:00,114,52,30.02,38.5,14.89,74.52,128.02,155.24,0.00116,0.195,0.295,-0.171,40.71,8.71,47.5,7.38,10.6,8.5,0.1156,0.0428
2026-04-01 01:55:00,113,51,30.73,38.15,14.28,74.56,129.25,161.17,0.00148,0.818,-0.356,0.122,33.05,2.38,40.69,1.65,14.3,6.4,0.1172,0.0435
2026-04-01 02:00:00,93,42,31.66,37.79,15.14,76.05,127.35,207.14,0.00176,0.086,-0.154,0.542,33.0,2.4,40.57,1.75,19.5,4.8,0.1196,0.0368
2026-04-01 02:05:00,83,35,30.9,37.84,15.36,74.33,126.63,197.56,0.00087,-1.283,0.047,0.269,32.88,2.43,40.46,1.84,15.3,4.9,0.1169,0.0321
2026-04-01 02:10:00,86,38,29.09,37.89,15.67,71.85,129.46,160.17,0.00114,-1.213,0.266,0.009,32.68,2.53,40.29,1.88,6.4,5.1,0.1102,0.0314
2026-04-01 02:15:00,94,44,28.48,38.37,15.38,74.19,129.41,181.39,0.00226,0.559,-0.147,-0.569,32.52,2.67,40.07,1.78,4.4,7.6,0.1093,0.0333
